accel_x,accel_y,accel_z
9.999971406674834640e-01,9.999984240378211320e-01,-8.794845742523575538e+00
1.900000792874314337e+00,1.899997227235673547e+00,-7.894837703507475268e+00
2.710005492987123787e+00,2.709997538153664287e+00,-7.084847061711387894e+00
3.438987178321295968e+00,3.439002593640377192e+00,-6.355843305385431741e+00
4.095098508120658565e+00,4.095104409647275290e+00,-5.699746078671568128e+00
4.685591052973786752e+00,4.685589477066161024e+00,-5.109250058668124872e+00
5.217022394643509031e+00,5.217034222748734074e+00,-4.577808034122812231e+00
5.695324578452483522e+00,5.695321426747278259e+00,-4.099515436454945316e+00
6.125793249423299613e+00,6.125794350173106473e+00,-3.669050427368814038e+00
6.513219425163216947e+00,6.513215782267715248e+00,-3.281631459603140399e+00
6.861894760031114870e+00,6.861897487965991083e+00,-2.932949195619364069e+00
7.175709708037510737e+00,7.175714498325541868e+00,-2.619140279482645717e+00
7.458132819118519663e+00,7.458139966993922343e+00,-2.336706494160587511e+00
7.712328888311722253e+00,7.712317515374393473e+00,-2.082517477457682897e+00
7.941097607841560269e+00,7.941082288734715888e+00,-1.853747279351942279e+00
8.146970723587937613e+00,8.146971769166528432e+00,-1.647860059646772068e+00
8.332284010042833700e+00,8.332283865806520140e+00,-1.462560643851889886e+00
8.499056401319549536e+00,8.499045576305769956e+00,-1.295791642466950444e+00
8.649153828019127133e+00,8.649148229398244681e+00,-1.145690793833776810e+00
8.784237661676074893e+00,8.784230719816957134e+00,-1.010612539591694059e+00
8.905809998344556888e+00,8.905809570845184098e+00,-8.890266017645467311e-01
9.015228181338958535e+00,9.015226720172485386e+00,-7.796198798478963798e-01
9.113706144704304180e+00,9.113705103099681182e+00,-6.811364692622527972e-01
9.202331952850309804e+00,9.202342030934246964e+00,-5.925004305717251896e-01
9.282100126489567060e+00,9.282096355703052026e+00,-5.127433691602650834e-01
9.353890643945790728e+00,9.353885816892665517e+00,-4.409473249899011904e-01
9.418497750893497056e+00,9.418507283148761289e+00,-3.763337985954389175e-01
9.476647874204928712e+00,9.476644632533330892e+00,-3.181931710881718001e-01
9.528985185674461178e+00,9.528985768619914865e+00,-2.658543085081280788e-01
9.576088864177398463e+00,9.576095068673891930e+00,-2.187529259332885723e-01
9.618483870000252622e+00,9.618485561703629116e+00,-1.763673205070101224e-01
9.656633619562285276e+00,9.656636151423018788e+00,-1.382079005719198950e-01
9.690966107208851099e+00,9.690965295320371098e+00,-1.038675114755485129e-01
9.721871979541116815e+00,9.721865485787283490e+00,-7.297233754686895113e-02
9.749684239850180845e+00,9.749683600354666524e+00,-4.515481762583776343e-02
9.774713269227229162e+00,9.774719110546913114e+00,-2.011794459468332213e-02
9.797246119917039309e+00,9.797245630532074756e+00,2.400789383118852142e-03
9.817523213306829533e+00,9.817520340302117177e+00,2.266993432246306242e-02
9.835772211539307364e+00,9.835770138274483543e+00,4.092852455365998676e-02
9.852190064869581931e+00,9.852193257920394132e+00,5.734541712881270625e-02
9.866970375160899920e+00,9.866971894644780861e+00,7.213081287268124919e-02
9.880273300556279281e+00,9.880277247988331624e+00,8.543548434628739363e-02
9.892248524408143950e+00,9.892251461615275687e+00,9.740159230433594051e-02
9.903015733258611064e+00,9.903027806056920568e+00,1.081852375805260474e-01
9.912717312329210273e+00,9.912722375495865990e+00,1.178805835363283677e-01
9.921446988242864862e+00,9.921443725032823124e+00,1.266051000697999418e-01
9.929304435553511610e+00,9.929298767261323988e+00,1.344599133738932362e-01
9.936376638972452824e+00,9.936372767557882568e+00,1.415249396776468993e-01
9.942730968463932228e+00,9.942737712166934472e+00,1.478927663040764950e-01
9.948461613835430484e+00,9.948454756036181124e+00,1.536151909182226494e-01
9.953616142931055677e+00,9.953617138022952560e+00,1.587746268524623527e-01
9.958258220407426364e+00,9.958251014936491785e+00,1.634138940711641619e-01
9.962426722050720329e+00,9.962430654209798675e+00,1.675870703556250896e-01
9.966190489001258257e+00,9.966187939901615778e+00,1.713437195643114919e-01
9.969570122019522529e+00,9.969571283289392127e+00,1.747277049707915142e-01
9.972617932325459122e+00,9.972610455391246020e+00,1.777673552727015160e-01
9.975352891651960263e+00,9.975349756277379853e+00,1.805110137401923776e-01
9.977816067738030981e+00,9.977816891670707733e+00,1.829655538280741123e-01
9.980040014003451532e+00,9.980030751002553657e+00,1.851928533890680184e-01
9.982027978636654808e+00,9.982037263381352332e+00,1.871896193601930991e-01
9.983832650707828549e+00,9.983824838285636716e+00,1.889927806417909528e-01
9.985440887267108323e+00,9.985434408009838947e+00,1.906020639800727334e-01
9.986897110700661884e+00,9.986900842041348980e+00,1.920544956910665568e-01
9.988207827361305746e+00,9.988204215166572197e+00,1.933667842135687875e-01
9.989391235860422213e+00,9.989388184290941552e+00,1.945447971785731478e-01
9.990446136048571901e+00,9.990449996022528367e+00,1.956061160054785586e-01
9.991406928165279311e+00,9.991406522223522657e+00,1.965673972359905930e-01
9.992258702910561396e+00,9.992266538435753631e+00,1.974214435624865871e-01
9.993033855202803295e+00,9.993042191339267077e+00,1.982015716338993150e-01
9.993736244857874595e+00,9.993733569225263125e+00,1.988972180983692994e-01
9.994358869815533453e+00,9.994359783322792623e+00,1.995205330155065404e-01
9.994924110004344442e+00,9.994923217425354167e+00,2.000849420111061594e-01
9.995434236052567201e+00,9.995432443420263269e+00,2.005854708406247244e-01
9.995893971169326875e+00,9.995889846138350521e+00,2.010518019275946144e-01
9.996300350109645905e+00,9.996298898757448370e+00,2.014568625141473501e-01
9.996678285358727933e+00,9.996669530752702926e+00,2.018282374619376485e-01
9.996995274007755228e+00,9.996998563470302912e+00,2.021679452591806647e-01
9.997304006709645918e+00,9.997300358365132311e+00,2.024604532035459703e-01
9.997577660919084508e+00,9.997566181800994656e+00,2.027352899681817144e-01
9.997813584547271759e+00,9.997816489657928685e+00,2.029671386427681634e-01
9.998027930778798478e+00,9.998030705942678509e+00,2.031927919942328187e-01
9.998231570468222529e+00,9.998228833033234508e+00,2.033862228602867361e-01
9.998409701542898986e+00,9.998403556299287231e+00,2.035599169059250924e-01
9.998568022154945112e+00,9.998573594177370794e+00,2.037260279451542089e-01
9.998706992390397730e+00,9.998706134553131619e+00,2.038685672931483950e-01
9.998838144084698953e+00,9.998829589635818138e+00,2.039942990377371368e-01
9.998959167028734996e+00,9.998956657495519096e+00,2.041076822647692468e-01
9.999063873379970602e+00,9.999054376957840162e+00,2.042213039603248403e-01
9.999156169400885474e+00,9.999145671275181613e+00,2.043174285575358462e-01
9.999238027471241352e+00,9.999232967293158580e+00,2.043945365508704204e-01
9.999305778453162930e+00,9.999310638797885176e+00,2.044657501648526055e-01
9.999375100046966836e+00,9.999388073116543652e+00,2.045375966851404881e-01
9.999454883747016964e+00,9.999445287420433814e+00,2.045968146384279929e-01
9.999502643744845543e+00,9.999503623831110133e+00,2.046597618146291375e-01
9.999547101482612277e+00,9.999553043466171687e+00,2.047092475420757007e-01
9.999600661251696110e+00,9.999596001021298974e+00,2.047556215823628789e-01
9.999640992326565225e+00,9.999628475374002790e+00,2.047906179696133977e-01
9.999679598547443149e+00,9.999666198194145039e+00,2.048340533351306059e-01
9.999703418696917367e+00,9.999704070169938674e+00,2.048605325133040223e-01
9.999738031072233468e+00,9.999732051026489543e+00,2.048939945293721254e-01
9.999750872606417929e+00,9.999757314631846583e+00,2.049200386959474374e-01
9.999787457701208027e+00,9.999784122934704200e+00,2.049369585524386805e-01
9.999811999198293222e+00,9.999808623244705430e+00,2.049577021263012111e-01
9.999829136512506267e+00,9.999827606891592779e+00,2.049862928351754154e-01
9.999849268865423468e+00,9.999840636398763749e+00,2.049941218746267890e-01
9.999859696175640522e+00,9.999869285442564149e+00,2.050194563505501333e-01
9.999872791440761688e+00,9.999873211962031050e+00,2.050286024986281985e-01
9.999889869588070468e+00,9.999885123341121229e+00,2.050410100554982684e-01
9.999893556230418312e+00,9.999902184133452110e+00,2.050507604988405785e-01
9.999911198884746000e+00,9.999912092820578025e+00,2.050634763141981898e-01
9.999916903737412710e+00,9.999912383500777935e+00,2.050664147452826713e-01
9.999922970169027536e+00,9.999922616312398205e+00,2.050794737590535821e-01
9.999931132241837162e+00,9.999926426891512676e+00,2.050926538248203090e-01
9.999934953341622190e+00,9.999941136566976141e+00,2.050927328970227337e-01
9.999948701693558206e+00,9.999943689422465809e+00,2.051006002525324057e-01
9.999951942129312599e+00,9.999949369258271048e+00,2.051052298753856806e-01
9.999959332048325322e+00,9.999956334922142531e+00,2.051094114586742290e-01
9.999961734049142237e+00,9.999955612298986551e+00,2.051248642207388895e-01
9.999961718408691524e+00,9.999956965385338847e+00,2.051217375299587697e-01
9.999968124197385677e+00,9.999972448981351292e+00,2.051248702410416458e-01
9.999975511615032175e+00,9.999975455804808178e+00,2.051247788156095875e-01
9.999973368686925213e+00,9.999978707339053585e+00,2.051218006644194292e-01
9.999983144648645350e+00,9.999976752031955129e+00,2.051316852993907980e-01
9.999980770357394633e+00,9.999985421242081784e+00,2.051316589567957205e-01
9.999984616048944730e+00,9.999981488102626770e+00,2.051487512628380749e-01
9.999983692738561913e+00,9.999975469151278773e+00,2.051337706828466334e-01
9.999990825161100716e+00,9.999982942909644734e+00,2.051449696996499872e-01
9.999982001258068465e+00,9.999988371783258501e+00,2.051446016625394497e-01
9.999989318226598201e+00,9.999988809343944851e+00,2.051484955151968714e-01
9.999984703846246603e+00,9.999984214538571337e+00,2.051565075985077591e-01
9.999989766986294271e+00,9.999987681004865792e+00,2.051498578895508684e-01
9.999982367106737158e+00,9.999982835281471694e+00,2.051501164833627600e-01
9.999991848746832446e+00,9.999993719499300937e+00,2.051572970108807570e-01
9.999994070513590572e+00,9.999992006423735091e+00,2.051455411455609945e-01
9.999986054213394482e+00,9.999994855745596212e+00,2.051504521193327490e-01
9.999990590833705895e+00,9.999985990760249521e+00,2.051545271538569581e-01
9.999995885796847617e+00,9.999995987134866482e+00,2.051554754363684174e-01
9.999990423795452443e+00,9.999996918359865816e+00,2.051558650446741738e-01
9.999990860471287490e+00,9.999997135252659319e+00,2.051576603175070124e-01
9.999994972101887925e+00,9.999997464918775947e+00,2.051475304158519308e-01
9.999994812468669281e+00,9.999995752865499909e+00,2.051489326280466763e-01
9.999994422498215130e+00,9.999998882547489032e+00,2.051562655297896054e-01
9.999996997253914444e+00,9.999994453584960752e+00,2.051547941291712862e-01
9.999993436590532525e+00,1.000000060061575091e+01,2.051615088024480726e-01
9.999995496561135511e+00,9.999994201256861004e+00,2.051550191134771661e-01
9.999995840622109000e+00,9.999996178379840117e+00,2.051488943252195996e-01
1.000000298689106515e+01,9.999995152151033295e+00,2.051617251201332537e-01
1.000000116333734290e+01,9.999998531050341199e+00,2.051543466336751831e-01
1.000000109496551559e+01,9.999996623235469784e+00,2.051605200923082017e-01
1.000000563639829565e+01,1.000000261233406462e+01,2.051602944651393923e-01
1.000000240150874831e+01,9.999995691845148471e+00,2.051563884348077405e-01
1.000000001373660830e+01,9.999996008707494610e+00,2.051552912081981705e-01
9.999998819895504099e+00,9.999997219259421755e+00,2.051543018760778603e-01
9.999997416769961234e+00,1.000000595856008090e+01,2.051442868504891881e-01
9.999997554118309040e+00,9.999998380697656231e+00,2.051565224786357222e-01
1.000000053645309528e+01,9.999996873368184325e+00,2.051589847332064009e-01
1.000000221650118526e+01,9.999995079993892588e+00,2.051569229042031484e-01
1.000000177567102888e+01,9.999998457795019391e+00,2.051641301897308423e-01
9.999999693333409212e+00,9.999995315584278899e+00,2.051558637506088190e-01
9.999997190518310930e+00,9.999998435316197032e+00,2.051625755525304795e-01
1.000000068160757394e+01,9.999989938128980071e+00,2.051566477905307218e-01
1.000000930425773937e+01,9.999998941252529860e+00,2.051567826990811361e-01
9.999995217619479959e+00,9.999999995221346083e+00,2.051528102305612833e-01
1.000000717013789497e+01,1.000000545168558652e+01,2.051608084307802171e-01
9.999992896911127360e+00,9.999999963926327951e+00,2.051601120605284212e-01
9.999998735757802848e+00,1.000000192189340886e+01,2.051566154350214777e-01
9.999994804539170445e+00,9.999995271103127692e+00,2.051587618485809783e-01
1.000000111190857233e+01,9.999997738117968993e+00,2.051632686840432762e-01
1.000000157669991374e+01,9.999994233180052206e+00,2.051609104987581200e-01
9.999989306635690411e+00,9.999997684607601300e+00,2.051654261816119318e-01
9.999994484577987564e+00,9.999999037265737911e+00,2.051574587558280538e-01
1.000000488614204386e+01,1.000000007041680306e+01,2.051674142565437509e-01
1.000000693053656775e+01,1.000000057058008274e+01,2.051606067070059214e-01
9.999997339011558850e+00,9.999998404535856977e+00,2.051589027434078949e-01
9.999998929155037075e+00,9.999993299905852950e+00,2.051625963147785670e-01
1.000000361822615602e+01,9.999996161477437084e+00,2.051669971070466669e-01
9.999992851122293303e+00,1.000000192142200284e+01,2.051604650013438835e-01
1.000000421454718058e+01,9.999996857198173217e+00,2.051593198037172938e-01
1.000000400626972485e+01,9.999996495140939246e+00,2.051621389268808715e-01
1.000000256800254661e+01,9.999993445051174490e+00,2.051490840428376594e-01
1.000000342304199030e+01,9.999990531115326320e+00,2.051585989767105156e-01
1.000000063317991383e+01,9.999999734807497376e+00,2.051531431929369820e-01
9.999995507482292822e+00,9.999992493936472826e+00,2.051513012136203518e-01
1.000000119228459461e+01,9.999995730206901356e+00,2.051627839761626937e-01
9.999999359084105421e+00,1.000000458791797975e+01,2.051580121403074330e-01
9.999993337291234852e+00,9.999992415393455403e+00,2.051541124178928865e-01
9.999999802206041011e+00,1.000000521734660097e+01,2.051529907758038174e-01
1.000000089748851551e+01,9.999997534098577390e+00,2.051524235049085321e-01
9.999998578248916914e+00,1.000000312445396666e+01,2.051604988629980031e-01
9.999996596554350248e+00,9.999995186693528382e+00,2.051573062125955083e-01
9.999995867548490125e+00,9.999998219682757039e+00,2.051726010584058180e-01
1.000000894537693341e+01,9.999999967384619382e+00,2.051624793823040582e-01
9.999995851737081054e+00,9.999997921203116036e+00,2.051607985353365304e-01
9.999996471544433163e+00,1.000000340190256587e+01,2.051523797391701653e-01
9.999996128118477046e+00,9.999997961547460790e+00,2.051549695739963708e-01
9.999997229112580044e+00,9.999999857866063380e+00,2.051614312590532563e-01
9.999994314812663987e+00,9.999998986621905672e+00,2.051626261505585802e-01
9.999998610913429786e+00,1.000000158575331710e+01,2.051581623430846768e-01
1.000000376769713206e+01,9.999993781300499762e+00,2.051571209225131753e-01
9.999997097271187130e+00,1.000000303950296043e+01,2.051595694981516449e-01
9.999994036636344674e+00,9.999996332588327874e+00,2.051567890732108046e-01
9.999998416615808239e+00,1.000000169840936515e+01,2.051597675419468969e-01
1.000000069152628690e+01,9.999995279020909678e+00,2.051446841384398367e-01
1.000000266174143171e+01,9.999998213264959190e+00,2.051629393029997528e-01
1.000000197439063321e+01,9.999996353615548728e+00,2.051528036193663307e-01
1.000000241802140444e+01,1.000000721302591167e+01,2.051514986912350291e-01
9.999999484034646002e+00,9.999997940433040355e+00,2.051527960007867579e-01
