ref_pos_x,ref_pos_y,ref_pos_z
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109655523207e+06,4.688711955764515325e+06,3.360431434222325683e+06
-2.707029109365522861e+06,4.688711956054515205e+06,3.360431434512326028e+06
-2.707029108804523014e+06,4.688711956615515053e+06,3.360431435073325876e+06
-2.707029107899622992e+06,4.688711957520415075e+06,3.360431435978225898e+06
-2.707029106585212983e+06,4.688711958834825084e+06,3.360431437292635906e+06
-2.707029104802243877e+06,4.688711960617794655e+06,3.360431439075605012e+06
-2.707029102497572079e+06,4.688711962922466919e+06,3.360431441380276810e+06
-2.707029099623367190e+06,4.688711965796671808e+06,3.360431444254481699e+06
-2.707029096136582550e+06,4.688711969283455983e+06,3.360431447741266340e+06
-2.707029091998476535e+06,4.688711973421561532e+06,3.360431451879372355e+06
-2.707029087174181361e+06,4.688711978245857172e+06,3.360431456703667529e+06
-2.707029081632315647e+06,4.688711983787722886e+06,3.360431462245533243e+06
-2.707029075344636105e+06,4.688711990075401962e+06,3.360431468533212785e+06
-2.707029068285725079e+06,4.688711997134313919e+06,3.360431475592123810e+06
-2.707029060432704631e+06,4.688712004987333901e+06,3.360431483445144258e+06
-2.707029051764986478e+06,4.688712013655051589e+06,3.360431492112862412e+06
-2.707029042264040094e+06,4.688712023155998439e+06,3.360431501613808796e+06
-2.707029031913188286e+06,4.688712033506849781e+06,3.360431511964660604e+06
-2.707029020697421860e+06,4.688712044722616673e+06,3.360431523180427030e+06
-2.707029008603231981e+06,4.688712056816806085e+06,3.360431535274616908e+06
-2.707028995618461166e+06,4.688712069801577367e+06,3.360431548259387724e+06
-2.707028981732167304e+06,4.688712083687870763e+06,3.360431562145681586e+06
-2.707028966934503056e+06,4.688712098485535942e+06,3.360431576943345834e+06
-2.707028951216605026e+06,4.688712114203433506e+06,3.360431592661243863e+06
-2.707028934570496902e+06,4.688712130849542096e+06,3.360431609307351988e+06
-2.707028916988999583e+06,4.688712148431039415e+06,3.360431626888849307e+06
-2.707028898465651553e+06,4.688712166954386979e+06,3.360431645412197337e+06
-2.707028878994639032e+06,4.688712186425399967e+06,3.360431664883209858e+06
-2.707028858570727054e+06,4.688712206849311478e+06,3.360431685307121836e+06
-2.707028837189206854e+06,4.688712228230831213e+06,3.360431706688642036e+06
-2.707028814845838584e+06,4.688712250574200414e+06,3.360431729032010306e+06
-2.707028791536807083e+06,4.688712273883231916e+06,3.360431752341041807e+06
-2.707028767258678563e+06,4.688712298161360435e+06,3.360431776619170327e+06
-2.707028742008362897e+06,4.688712323411675170e+06,3.360431801869485993e+06
-2.707028715783079155e+06,4.688712349636959843e+06,3.360431828094769735e+06
-2.707028688580323476e+06,4.688712376839715056e+06,3.360431855297525413e+06
-2.707028660397843458e+06,4.688712405022195540e+06,3.360431883480005432e+06
-2.707028631233611144e+06,4.688712434186426923e+06,3.360431912644237746e+06
-2.707028601085802540e+06,4.688712464334236458e+06,3.360431942792046349e+06
-2.707028569952774327e+06,4.688712495467264205e+06,3.360431973925074562e+06
-2.707028537833049428e+06,4.688712527586989105e+06,3.360432006044799462e+06
-2.707028504725296982e+06,4.688712560694742016e+06,3.360432039152551908e+06
-2.707028470628319308e+06,4.688712594791718759e+06,3.360432073249529582e+06
-2.707028435541039798e+06,4.688712629878998734e+06,3.360432108336809091e+06
-2.707028399462488014e+06,4.688712665957550518e+06,3.360432144415360875e+06
-2.707028362391791772e+06,4.688712703028246760e+06,3.360432181486057118e+06
-2.707028324328164570e+06,4.688712741091873497e+06,3.360432219549684320e+06
-2.707028285270900466e+06,4.688712780149137601e+06,3.360432258606948424e+06
-2.707028245219362900e+06,4.688712820200676098e+06,3.360432298658485990e+06
-2.707028204172978643e+06,4.688712861247059889e+06,3.360432339704870246e+06
-2.707028162131233141e+06,4.688712903288804926e+06,3.360432381746615749e+06
-2.707028119093662128e+06,4.688712946326375939e+06,3.360432424784186762e+06
-2.707028075059848372e+06,4.688712990360190161e+06,3.360432468818000518e+06
-2.707028030029415619e+06,4.688713035390622914e+06,3.360432513848433271e+06
-2.707027984002026729e+06,4.688713081418012269e+06,3.360432559875822160e+06
-2.707027936977376230e+06,4.688713128442662768e+06,3.360432606900472660e+06
-2.707027888955190778e+06,4.688713176464847289e+06,3.360432654922658112e+06
-2.707027839935224038e+06,4.688713225484814495e+06,3.360432703942624852e+06
-2.707027789917253889e+06,4.688713275502784178e+06,3.360432753960595001e+06
-2.707027738901081029e+06,4.688713326518957503e+06,3.360432804976767860e+06
-2.707027686886525247e+06,4.688713378533513285e+06,3.360432856991323642e+06
-2.707027633873424958e+06,4.688713431546613574e+06,3.360432910004423931e+06
-2.707027579861634877e+06,4.688713485558403656e+06,3.360432964016214013e+06
-2.707027524851023685e+06,4.688713540569014847e+06,3.360433019026825204e+06
-2.707027468841473572e+06,4.688713596578565426e+06,3.360433075036375318e+06
-2.707027411832878366e+06,4.688713653587159701e+06,3.360433132044970524e+06
-2.707027353825143073e+06,4.688713711594895460e+06,3.360433190052705817e+06
