gps_x,gps_y,gps_z,gps_vx,gps_vy,gps_vz
-2.707030094820390455e+06,4.688714983407168649e+06,3.360430972731842194e+06,4.861542625721346211e-02,-4.239451452425105349e-02,-3.683785524105584464e-02
-2.707031852411249187e+06,4.688720402802616358e+06,3.360432365232668351e+06,-8.811905743091713594e-02,-1.104474779562156402e-02,6.284810438105252473e-02
-2.707027469945696648e+06,4.688717280436445959e+06,3.360431474163929932e+06,-2.846074294646707206e-02,7.440765370743473994e-02,7.572931928751187869e-02
-2.707029846274551935e+06,4.688724855625111610e+06,3.360425352103076875e+06,-4.496288799344908688e-02,4.366087757966352623e-02,-4.737875440076862177e-02
-2.707030172558602877e+06,4.688716970532020554e+06,3.360421221222313121e+06,1.202323268932372485e-02,6.632046745174335900e-02,3.307752908318406515e-02
-2.707037834042126313e+06,4.688713766123079695e+06,3.360418727684707846e+06,-6.385538742810868695e-02,-3.576985983128205121e-02,-2.098840965969834410e-02
-2.707033388632270508e+06,4.688702746049104258e+06,3.360426357494341675e+06,-4.397886032633462061e-02,3.148595957486354652e-02,1.138563514233850438e-01
-2.707027089966345578e+06,4.688706923475100659e+06,3.360423397659483831e+06,-5.796557623427370937e-02,-8.126217210790122325e-02,4.929290349498582219e-02
-2.707024453105363529e+06,4.688710997179255821e+06,3.360422928467490245e+06,5.834317206149158830e-03,-8.777831205654193503e-02,4.377067294777136947e-04
-2.707028749705417547e+06,4.688705522469369695e+06,3.360432605844330043e+06,-1.849092498158553134e-03,7.295260886077921392e-02,-1.553876064321906003e-02
-2.707027013726524077e+06,4.688714048461500555e+06,3.360426609251024202e+06,5.586838190551146610e-02,-9.410412976038667887e-02,2.356480783067747831e-02
-2.707021023337799124e+06,4.688720786474253982e+06,3.360424415579839144e+06,4.251684634056347722e-02,-4.137732669927282614e-02,-6.738574014690014609e-03
-2.707025956400629599e+06,4.688713092278895900e+06,3.360426878679236863e+06,3.514683495323561030e-02,-1.382067497130203340e-02,-4.191194364016981137e-03
-2.707032560926483478e+06,4.688712199744695798e+06,3.360426546017282642e+06,4.754105022448029683e-02,-4.632190673805711145e-02,-2.481810669683389998e-03
-2.707030392514516134e+06,4.688719925010284409e+06,3.360437160171215888e+06,-2.577599142421918219e-02,-1.855998201831884908e-02,9.958989711774718367e-02
-2.707031210273763631e+06,4.688716522265604697e+06,3.360430798892018851e+06,-2.401304839702976188e-02,4.809922524043819952e-02,9.383453843596709087e-02
-2.707037056670103688e+06,4.688715260032582097e+06,3.360436169744730461e+06,-5.774871478435775196e-02,-1.648181370109949931e-02,-7.189109997132524243e-02
-2.707034515246593393e+06,4.688710469911615364e+06,3.360429002395153511e+06,4.709967512238699694e-02,2.186139444068230242e-02,4.280220829482206391e-02
-2.707026241632938851e+06,4.688718907122344710e+06,3.360437888712868560e+06,-1.129667735676939851e-02,6.363838731807271165e-03,-8.032392926693273510e-03
-2.707034206883150153e+06,4.688708917620201595e+06,3.360428045899132732e+06,7.369931796106037047e-02,-4.108614802525095699e-02,3.907853017430682960e-03
-2.707026117315407842e+06,4.688712404918721877e+06,3.360434659083254635e+06,-6.146337454908731845e-02,1.107367666767219289e-02,2.753340891647007571e-02
-2.707033586412961595e+06,4.688716744095283560e+06,3.360422410125132650e+06,6.490343110711678520e-02,5.182143862075175300e-02,-5.304687793890395901e-03
