pos_x,pos_y,pos_z
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109755522572e+06,4.688711955664515495e+06,3.360431434122324921e+06
-2.707029109755522572e+06,4.688711955664515495e+06,3.360431434122324456e+06
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122323990e+06
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122323990e+06
-2.707029109755523037e+06,4.688711955664514564e+06,3.360431434122323990e+06
-2.707029109755523503e+06,4.688711955664514564e+06,3.360431434122324456e+06
-2.707029109755523503e+06,4.688711955664514564e+06,3.360431434122324456e+06
-2.707029109755523968e+06,4.688711955664513633e+06,3.360431434122324456e+06
-2.707029109755524434e+06,4.688711955664513633e+06,3.360431434122323990e+06
-2.707029109755523968e+06,4.688711955664511770e+06,3.360431434122323990e+06
-2.707029109755523503e+06,4.688711955664510839e+06,3.360431434122323990e+06
-2.707029109755523503e+06,4.688711955664508976e+06,3.360431434122323990e+06
-2.707029109755522572e+06,4.688711955664508045e+06,3.360431434122323524e+06
-2.707029109755521640e+06,4.688711955664507113e+06,3.360431434122323059e+06
-2.707029109755520243e+06,4.688711955664506182e+06,3.360431434122322593e+06
-2.707029109755518846e+06,4.688711955664505251e+06,3.360431434122322593e+06
-2.707029109755516984e+06,4.688711955664505251e+06,3.360431434122323059e+06
-2.707029109755514655e+06,4.688711955664505251e+06,3.360431434122323524e+06
-2.707029109755511861e+06,4.688711955664505251e+06,3.360431434122323059e+06
-2.707029109755508602e+06,4.688711955664505251e+06,3.360431434122322127e+06
-2.707029109755505342e+06,4.688711955664505251e+06,3.360431434122321196e+06
-2.707029109755502082e+06,4.688711955664506182e+06,3.360431434122319799e+06
-2.707029109755499288e+06,4.688711955664507113e+06,3.360431434122319333e+06
-2.707029109755496029e+06,4.688711955664508976e+06,3.360431434122318868e+06
-2.707029109755492769e+06,4.688711955664511770e+06,3.360431434122318402e+06
-2.707029109755489975e+06,4.688711955664515495e+06,3.360431434122318868e+06
-2.707029109755487647e+06,4.688711955664519221e+06,3.360431434122319799e+06
-2.707029109755484853e+06,4.688711955664523877e+06,3.360431434122319333e+06
-2.707029109755481593e+06,4.688711955664528534e+06,3.360431434122319333e+06
-2.707029109755478334e+06,4.688711955664533190e+06,3.360431434122319333e+06
-2.707029109755475074e+06,4.688711955664538778e+06,3.360431434122319333e+06
-2.707029109755471814e+06,4.688711955664544366e+06,3.360431434122319333e+06
-2.707029109755468555e+06,4.688711955664549954e+06,3.360431434122319333e+06
-2.707029109755463898e+06,4.688711955664556473e+06,3.360431434122318868e+06
-2.707029109755459707e+06,4.688711955664562993e+06,3.360431434122319333e+06
-2.707029109755454585e+06,4.688711955664570443e+06,3.360431434122319799e+06
-2.707029109755449463e+06,4.688711955664577894e+06,3.360431434122320265e+06
-2.707029109755443875e+06,4.688711955664586276e+06,3.360431434122321196e+06
-2.707029109755439218e+06,4.688711955664595589e+06,3.360431434122322127e+06
-2.707029109755434562e+06,4.688711955664603971e+06,3.360431434122322593e+06
-2.707029109755429905e+06,4.688711955664613284e+06,3.360431434122323524e+06
-2.707029109755424783e+06,4.688711955664622597e+06,3.360431434122324921e+06
-2.707029109755420126e+06,4.688711955664631911e+06,3.360431434122326784e+06
-2.707029109755415004e+06,4.688711955664641224e+06,3.360431434122328646e+06
-2.707029109755409416e+06,4.688711955664651468e+06,3.360431434122330043e+06
-2.707029109755404294e+06,4.688711955664661713e+06,3.360431434122331440e+06
-2.707029109755400103e+06,4.688711955664671957e+06,3.360431434122332837e+06
-2.707029109755395912e+06,4.688711955664682202e+06,3.360431434122334234e+06
-2.707029109755391255e+06,4.688711955664691515e+06,3.360431434122336097e+06
-2.707029109755386133e+06,4.688711955664701760e+06,3.360431434122336563e+06
-2.707029109755381476e+06,4.688711955664712004e+06,3.360431434122337028e+06
-2.707029109755377285e+06,4.688711955664723180e+06,3.360431434122337960e+06
-2.707029109755373094e+06,4.688711955664733425e+06,3.360431434122337960e+06
-2.707029109755368903e+06,4.688711955664744601e+06,3.360431434122337960e+06
-2.707029109755364712e+06,4.688711955664755777e+06,3.360431434122337960e+06
-2.707029109755360987e+06,4.688711955664766952e+06,3.360431434122338425e+06
-2.707029109755357727e+06,4.688711955664778128e+06,3.360431434122339357e+06
-2.707029109755355399e+06,4.688711955664790235e+06,3.360431434122340288e+06
-2.707029109755353536e+06,4.688711955664802343e+06,3.360431434122341685e+06
-2.707029109755351674e+06,4.688711955664814450e+06,3.360431434122343082e+06
-2.707029109755350277e+06,4.688711955664826557e+06,3.360431434122344479e+06
-2.707029109755348880e+06,4.688711955664838664e+06,3.360431434122346342e+06
-2.707029109755347017e+06,4.688711955664850771e+06,3.360431434122347739e+06
-2.707029109755345620e+06,4.688711955664862879e+06,3.360431434122348670e+06
-2.707029109755344689e+06,4.688711955664875917e+06,3.360431434122349136e+06
-2.707029109755343758e+06,4.688711955664888024e+06,3.360431434122349601e+06
-2.707029109755342826e+06,4.688711955664900132e+06,3.360431434122350533e+06
